Club,Participated,Titles,Played,Win,Draw,Loss,Goals For,Goals Against,Pts,Goal Diff
Real Madrid CF,53,14,476,285,81,110,1047,521,651.0,526.0
FC Bayern München,39,6,382,229,76,77,804,373,534.0,431.0
FC Barcelona,33,5,339,197,76,66,667,343,470.0,324.0
Arsenal FC,21,0,201,101,43,57,332,218,245.0,114.0
Borussia Dortmund,21,1,170,81,33,56,287,214,195.0,73.0
Club Atlético de Madrid,18,0,160,76,42,42,226,152.0,194.0,74.0
Paris Saint-Germain,16,0,143,77,27,39,283,166,181.0,117.0
Manchester City FC,13,1,119,66,24,29,245,131,156.0,114.0
